Date,Company,Debt/Equity,Revenue Growth %,Net Income,Volatility,News Sentiment,Final Label
2020-01-02,Target Corp,1.8,38.2,453M,Medium,0.01,0.67
2020-01-04,Comcast Corp,0.9,28.6,205M,Low,0.13,0.73
2020-01-15,Oracle Corp,0.3,14.9,332M,Medium,-0.16,0.61
2020-01-17,Walgreens,1.7,29.4,759M,Low,0.34,0.76
2020-01-20,Boeing Co,0.5,24.7,1182M,Low,0.7,0.81
2020-01-26,NextEra Energy,1.5,13.5,1080M,Low,0.17,0.63
2020-02-13,BlackRock Inc,1.3,19.8,1659M,High,0.83,0.73
2020-02-20,Wells Fargo,0.7,18.8,1686M,Medium,0.45,0.77
2020-02-21,UnitedHealth Group,0.6,5.0,584M,Low,-0.8,0.57
2020-02-22,Adobe Inc,1.1,10.7,225M,Medium,-0.76,0.44
2020-02-25,ExxonMobil Corp,0.5,-0.2,563M,Low,-0.09,0.66
2020-03-05,Home Depot,1.0,30.7,1489M,Low,-0.03,0.79
2020-03-06,Google LLC,0.6,5.5,21M,High,0.11,0.5
2020-03-19,Zoom Video,0.9,11.7,947M,High,-0.18,0.62
2020-03-26,Teladoc Health,0.6,24.6,1582M,Low,0.32,0.74
2020-03-31,Apple Inc,0.5,5.9,883M,Low,0.15,0.67
2020-04-03,Netflix Inc,0.7,8.1,441M,High,0.78,0.62
2020-04-03,BlackRock Inc,1.3,2.8,562M,Low,-0.62,0.57
2020-04-04,Pfizer Inc,0.4,22.4,837M,Low,0.13,0.8
2020-04-13,T-Mobile US,1.0,42.1,2050M,Low,0.08,0.84
2020-04-16,Best Buy,0.5,5.9,853M,Low,0.82,0.72
2020-04-21,Morgan Stanley,0.7,-2.0,88M,High,-0.18,0.43
2020-04-27,Netflix Inc,0.3,17.4,1068M,Medium,0.9,0.83
2020-04-29,T-Mobile US,2.2,31.5,2077M,Medium,0.73,0.69
2020-04-30,Bank of America,0.3,22.5,1620M,Medium,0.18,0.89
2020-05-04,Walmart Inc,1.1,-3.5,-148M,Medium,-0.34,0.37
2020-05-04,Chevron Corp,0.3,17.3,1594M,Medium,0.89,0.82
2020-05-11,NextEra Energy,1.5,10.6,1153M,Low,0.83,0.7
2020-05-11,Costco Wholesale,1.5,20.2,773M,Medium,0.81,0.77
2020-05-15,American Express,1.8,13.9,704M,Medium,0.02,0.56
2020-05-20,Intel Corp,0.8,24.2,2355M,Medium,0.35,0.74
2020-05-21,NIO Inc,1.1,-4.9,-95M,Medium,-0.43,0.48
2020-05-23,Home Depot,0.8,19.4,249M,Medium,0.68,0.63
2020-05-25,BlackRock Inc,0.5,1.5,472M,Low,-0.78,0.52
2020-05-25,Disney Co,0.7,18.3,371M,Medium,0.46,0.69
2020-05-26,NVIDIA Corp,1.1,28.9,314M,Medium,0.71,0.65
2020-05-30,Verizon Communications,3.0,6.2,1197M,High,0.12,0.55
2020-05-31,Netflix Inc,0.7,11.0,205M,High,-0.43,0.52
2020-06-04,Pfizer Inc,1.1,7.7,80M,Medium,0.67,0.53
2020-06-07,Anthem Inc,0.9,8.7,561M,Medium,0.72,0.72
2020-06-12,BlackRock Inc,0.6,14.2,1132M,Medium,-0.58,0.66
2020-06-20,Enphase Energy,0.5,10.5,240M,Low,0.88,0.59
2020-06-23,Pfizer Inc,1.0,-13.5,147M,High,-0.62,0.37
